字彙	詞類	中文	註解	級數	學術字彙
hopeless	adj.	無望的、絕望的		High-Intermediate	
horizon	noun	地平線、視野		Intermediate	
horizontal	adj./noun	水平的；水平面、橫切面		High-Intermediate	
hormone	noun	賀爾蒙		High-Intermediate	
horn	noun	動物(角)、號角		Intermediate	
horrible	adj.	可怕的		Elementary	
horrify	verb	驚嚇		Intermediate	
horror	noun	恐懼、驚恐		Intermediate	
horse	noun	馬		Elementary	
horsepower	noun	馬力		High-Intermediate	
hose	noun/verb	軟管、水管；用軟管噴水		Intermediate	
hospitable	adj.	好客的、(氣候或環境)宜人的		High-Intermediate	
hospital	noun	醫院		Elementary	
hospitality	noun	好客		High-Intermediate	
hospitalize	verb	使住院治療		High-Intermediate	
host	noun/verb	主人、主辦；作東		Elementary	
hostage	noun	人質		Intermediate	
hostel	noun	(青年)旅社		Intermediate	
hostess	noun	女主人		Elementary	
hostile	adj	敵方的、懷敵意的		High-Intermediate	
hostility	noun	敵意、戰爭行動		High-Intermediate	
hot	adj.	熱的		Elementary	
hot dog	noun	熱狗		Elementary	
hotel	noun	旅館		Elementary	
hound	noun	獵犬		High-Intermediate	
hound	verb	跟蹤、煩擾		High-Intermediate	
hour	noun	小時		Elementary	
hourly	adj./adv.	每小時的；每小時地		Intermediate	
house	noun/verb	房子；給…房子住(用)		Elementary	
household	noun/adj.	家庭；家庭的		Intermediate	
housekeeper	noun	管家		Intermediate	
housewife	noun	家庭主婦		Intermediate	
housework	noun	家事		Intermediate	
housing	noun	住宅		Intermediate	
hover	verb	(鳥或直升機)盤旋、徘徊停留		High-Intermediate	
how	adv.	如何、怎麼樣		Elementary	
however	adv./conj.	然而、但是；不管怎樣、無論如何		Elementary	
howl	verb/noun	大聲叫喊、(風)呼嘯；號叫聲、呼嘯聲		High-Intermediate	
Hualian	noun	花蓮		Elementary	
hug	verb/noun	擁抱		Intermediate	
huge	adj.	巨大的		Elementary	
hull	noun	船身、(果實的)殼		High-Intermediate	
hull	verb	除去(水果、蔬菜等的)皮(或莖、葉)		High-Intermediate	
hum	verb/noun	哼(曲)；嗡嗡聲		Intermediate	
human	adj./noun	人類的；人類		Elementary	
humanitarian	adj./noun	人道主義的；人道主義者		High-Intermediate	
humanity	noun	人類、人性		Intermediate	
humble	adj.	謙虛的		Elementary	
humid	adj.	潮濕的		Elementary	
humidity	noun	溼度、潮濕		Intermediate	
humiliate	verb	羞辱、使難堪		High-Intermediate	
humiliation	noun	恥辱		High-Intermediate	
humor	noun	幽默	= humour (British English)  	Elementary	
humorous	adj.	幽默的		Elementary	
hunch	noun	預感、直覺		High-Intermediate	
hunch	verb	使弓起、聳肩		High-Intermediate	
hundred	number/pron./noun/adj.	一百		Elementary	
hunger	noun	飢餓		Elementary	
hungry	adj.	飢餓的		Elementary	
hunt	verb/noun	打獵、尋找；打獵、尋找		Elementary	
hunter	noun	獵人		Elementary	
hurdle	noun/verb	（跨欄比賽中的）欄架、障礙、難題；跨過		High-Intermediate	
hurl	verb	猛力投擲、大聲叫罵		High-Intermediate	
hurricane	noun	颶風		Intermediate	
hurry	verb/noun	使加快、催促；匆忙、倉促		Elementary	
hurt	verb	（使）感到疼痛、弄傷；傷害		Elementary	
husband	noun	丈夫		Elementary	
hush	verb/noun	使安靜；沉默		Intermediate	
hut	noun	(簡陋)小屋		Intermediate	
hybrid	noun/adj.	(動植物)雜種、混合物；雜種的、混合的		High-Intermediate	
hydrogen	noun	氫		Intermediate	
hygiene	noun	衛生		High-Intermediate	
hymn	noun/verb	聖歌、讚美詩；唱聖歌、唱讚美詩		High-Intermediate	
hypocrisy	noun	虛偽、偽善		High-Intermediate	
hypocrite	noun	偽君子		High-Intermediate	
hypothesis	noun	假設		High-Intermediate	L4
hysterical	adj.	歇斯底里的		High-Intermediate	
I	pron.	我		Elementary	
ice	noun	冰		Elementary	
ice cream	noun	冰淇淋		Elementary	
iceberg	noun	冰山		Intermediate	
icy	adj.	結冰的、冰冷的		Intermediate	
idea	noun	主意		Elementary	
ideal	adj./noun	理想的；理想		Intermediate	
identical	adj.	完全相同的		Intermediate	L7
identification	noun	身分證明、辨認		Intermediate	
identify	verb	確認、認出		Intermediate	L1
identity	noun	身分		Intermediate	
ideological	adj.	意識形態的		High-Intermediate	L7
ideology	noun	思想體系、意識形態		High-Intermediate	L7
idiom	noun	成語、慣用語		Intermediate	
idiot	noun	笨蛋		High-Intermediate	
idle	adj./verb	閒置的、無所事事的；閒晃、虛度（光陰）		Intermediate	
idol	noun	偶像		Intermediate	
if	conj.	如果		Elementary	
ignite	verb	點燃、激起		High-Intermediate	
ignorance	noun	無知、愚昧		Intermediate	L6
ignorant	adj.	不知道的、無知的		Intermediate	L6
ignore	verb	忽視		Elementary	
ill	adj.	生病的		Elementary	
illness	noun	疾病		Intermediate	
illuminate	verb	照亮、闡明、使容光煥發		High-Intermediate	
illusion	noun	幻想、假象		High-Intermediate	
illustrate	verb	說明、加插圖		Intermediate	L3
illustration	noun	插圖、圖示		Intermediate	
image	noun	形象		Elementary	L5
imaginable	adj.	可想像的		Intermediate	
imaginary	adj.	想像中的		Intermediate	
imagination	noun	想像(力)		Intermediate	
imaginative	adj.	有想像力的		Intermediate	
imagine	verb	想像		Elementary	
imitate	verb	模仿		Intermediate	
imitation	noun	模仿		Intermediate	
immediate	adj.	立即的、當前的		Intermediate	
immediately	adv.	立即、直接地		Intermediate	
immense	adj.	巨大的		High-Intermediate	
immerse	verb	使浸沒、沉浸在		High-Intermediate	
immigrant	noun	移民		Intermediate	L3
immigrate	verb	(從外地)移居		High-Intermediate	L3
immigration	noun	移居(入境)		Intermediate	
imminent	adj.	即將發生的、逼近的		High-Intermediate	
immune	adj.	免疫的、免於…的		High-Intermediate	
impact	noun/verb	衝擊；對…產生影響		Intermediate	L2
impair	verb	損害、削弱		High-Intermediate	
impart	verb	給予、傳授、透露		High-Intermediate	
imperative	adj.	重要緊急的、祈使語氣的		High-Intermediate	
imperative	noun	必須履行的責任、必要的事		High-Intermediate	
imperial	adj.	帝國的		Intermediate	
impersonal	adj.	無人情味的、客觀的		Intermediate	
impetus	noun	推動力、刺激		High-Intermediate	
implement	verb	實施		Intermediate	L4
implication	noun	暗指、可能的影響		Intermediate	
implicit	adj.	不直接言明的、內含的、完全的		High-Intermediate	L8
imply	verb	暗指、說明		Intermediate	L3
import	noun/verb	進口商品；進口、引進		Elementary	
importance	noun	重要(性)		Elementary	
important	adj.	重要的		Elementary	
impose	verb	強加、徵(稅)		Intermediate	L4
imposing	adj.	壯觀的、使印象深刻的		High-Intermediate	
impress	verb	留下深刻印象		Intermediate	
impression	noun	印象		Intermediate	
impressive	adj.	令人印象深刻的		Intermediate	
imprison	verb	監禁		High-Intermediate	
imprisonment	noun	監禁		High-Intermediate	
improve	verb	改進		Elementary	
improvement	noun	改善		Intermediate	
impulse	noun	一時衝動、推動力		High-Intermediate	
impulsive	adj.	衝動的、易衝動的		High-Intermediate	
in	prep./adv./adj.	在…裡；在家、在某地；時髦的		Elementary	
inability	noun	無能(力)		High-Intermediate	
inaugurate	verb	為…舉行就職典禮、開展		High-Intermediate	
incense	noun	（在宗教儀式上焚燒的）香		High-Intermediate	
incense	verb	激怒		High-Intermediate	
incentive	noun	鼓勵、誘因		High-Intermediate	L6
inch	noun	英吋		Elementary	
incidence	noun	發生率、影響範圍		High-Intermediate	L6
incident	noun	(尤指不好的)事件		Intermediate	L6
incidental	adj.	附帶的、偶然發生的、次要的		High-Intermediate	
incidentally	adv.	順便提一句、偶然地		High-Intermediate	
incline	verb/noun	傾斜、傾向；斜坡		High-Intermediate	L10
include	verb	包含		Elementary	
including	prep.	包含		Elementary	
inclusive	adj.	包含(全部費用)的、範圍廣泛的		High-Intermediate	
income	noun	收入		Elementary	L1
incorporate	verb	包含、使併入		High-Intermediate	L6
increase	verb/noun	增大、增加、增強；（數量或尺寸）增加、增長		Elementary	
increasingly	adv.	漸增地		Intermediate	
incredible	adj.	難以置信的、極好的		Intermediate	
incumbent	noun/adj.	在職者；現任的		High-Intermediate	
incur	verb	招致、引起		High-Intermediate	
indeed	adv.	的確		Intermediate	
indefinite	adj.	未確定的、無限期的		High-Intermediate	
independence	noun	獨立		Intermediate	
independent	adj.	獨立的		Elementary	
index	noun/verb	索引、指數；將…編入索引		High-Intermediate	L6
India	noun	印度		Intermediate	
indicate	verb	指示		Elementary	L1
indication	noun	指示、跡象		Intermediate	
indicative	adj./noun	標示的、表明的；陳述語氣		High-Intermediate	
indicator	noun	指示物、指標		High-Intermediate	
indictment	noun	控告、刑事起訴書、(社會或制度)腐敗		High-Intermediate	
indifference	noun	漠不關心、不感興趣		High-Intermediate	
indifferent	adj.	漠不關心的、不感興趣的		High-Intermediate	
indigenous	adj.	本土的、土生土長的		High-Intermediate	
indignant	adj.	憤慨的、憤怒的		High-Intermediate	
indignation	noun	憤慨、憤怒		High-Intermediate	
indispensable	adj.	不可或缺的		High-Intermediate	
individual	adj./noun	個人的；個體		Elementary	L1
indoor	adj.	室內的		Intermediate	
indoors	adv.	在室內		Intermediate	
induce	verb	勸說、誘使、引起		High-Intermediate	L8
indulge	verb	沉迷、滿足(慾望、興趣)、縱容		High-Intermediate	
industrial	adj.	工業的		Intermediate	
industrialize	verb	工業化		Intermediate	
industry	noun	產業		Elementary	
inertia	noun	缺乏活力、惰性		High-Intermediate	
inevitable	adj.	不可避免的		Intermediate	L8
infant	noun	嬰兒		Intermediate	
infantry	noun	步兵		High-Intermediate	
infect	verb	感染		Intermediate	
infection	noun	感染		Intermediate	
infectious	adj.	傳染性的、患傳染病的、有感染力的		High-Intermediate	
infer	verb	推論		Intermediate	L7
inference	noun	推論		Intermediate	L7
inferior	adj./noun	較差的、下級的；屬下		Intermediate	
infinite	adj.	極大的、無邊無限的		High-Intermediate	L7
inflation	noun	通貨膨脹		Intermediate	
inflict	verb	使遭受(打擊或損傷)、強加		High-Intermediate	
influence	noun/verb	影響；影響、作用、有影響力的人或物		Elementary	
influential	adj.	有影響力的		Intermediate	
inform	verb	通知、了解		Intermediate	
informal	adj.	非正式的、不拘禮節的		Intermediate	
information	noun	資訊		Elementary	
informative	adj.	給予知識的		Intermediate	
informed	adj.	消息靈通的、有見識的		Intermediate	
infrastructure	noun	基礎建設(如公路、鐵路等)		High-Intermediate	L8
ingenious	adj.	精巧的、新穎獨特的		High-Intermediate	
ingenuity	noun	獨創力、聰明才智		High-Intermediate	
ingredient	noun	(烹飪)材料、成分		Intermediate	
inhabit	verb	居住於、棲息於		High-Intermediate	
inhabitant	noun	居民		Intermediate	
inherent	adj.	固有的、內在的		High-Intermediate	L9
inherit	verb	繼承、遺傳		Intermediate	
inhibit	verb	禁止、約束		High-Intermediate	L6
inhibited	adj.	約束的、拘謹的		High-Intermediate	L6
inhibition	noun	抑制、禁止		High-Intermediate	
initial	adj.	起初的		Intermediate	L3
initial	noun/verb	首字母；簽署姓名首字母		Intermediate	L3
initiate	verb/noun	創始、開始實施、使初步了解；新加入者		High-Intermediate	L6
initiative	noun	主動權、倡議、首創精神		High-Intermediate	
inject	verb	注射		Intermediate	
injection	noun	注射		Intermediate	
injure	verb	受傷、傷害		Intermediate	L2
injury	noun	傷害		Elementary	
injustice	noun	不公正、非正義		High-Intermediate	
ink	noun	墨水		Elementary	
inland	adj./adv.	內陸的；在內陸		High-Intermediate	
inlet	noun	水灣		High-Intermediate	
inmate	noun	(監獄中的)囚犯		High-Intermediate	
inn	noun	小旅館、客棧		Intermediate	
inner	adj.	裡面的、內心的		Intermediate	
inning	noun	(棒球)局、回合		High-Intermediate	
innocence	noun	清白、天真無邪		Intermediate	
innocent	adj.	無辜的、清白的、天真的		Intermediate	
innovation	noun	革新、新方法		High-Intermediate	
innovative	adj.	創新的		High-Intermediate	
innumerable	adj.	很多的		High-Intermediate	
input	noun/verb	輸入、投入；（將資訊）輸入、錄入（電腦或其他電子設備）		Intermediate	L6
inquire	verb	詢問、調查	= enquire	Intermediate	
inquiry	noun	詢問、調查	= enquiry	Intermediate	
insane	adj.	瘋狂的、精神失常的		High-Intermediate	
insect	noun	昆蟲		Elementary	
insecticide	noun	殺蟲劑		High-Intermediate	
insecure	adj.	缺乏信心的、不安全的		High-Intermediate	L2
insert	verb	插入		Intermediate	L7
inside	prep./adv./noun	在…裡；裡面的；內部		Elementary	
insider	noun	知內情者、內部的人		High-Intermediate	
insight	noun	洞察力、領悟		High-Intermediate	L9
insist	verb	堅持		Elementary	
insistence	noun	堅決要求、堅持		High-Intermediate	
insistent	adj.	堅持的、持續不斷的		High-Intermediate	
inspect	verb	檢查、審視		Intermediate	L8
inspection	noun	視察、檢查		High-Intermediate	
inspector	noun	檢查員		Intermediate	
inspiration	noun	靈感		Intermediate	
inspire	verb	給…靈感		Elementary	
instability	noun	(形勢)不穩定		High-Intermediate	L5
install	verb	安裝		Intermediate	
installation	noun	安裝、設備、(工業或軍事)設施		High-Intermediate	
installment	noun	(分期付款的)一期付款	= instalment (British English)	High-Intermediate	
instance	noun	例子		Elementary	L3
instant	adj./noun	立即的；剎那		Elementary	
instantaneous	adj.	立即的、瞬間的		High-Intermediate	
instead	adv.	代替、反而		Intermediate	
instinct	noun	本能、直覺		Intermediate	
instinctive	adj.	本能的、直覺的、天生的		High-Intermediate	
institute	noun	學院、協會		Intermediate	L2
institution	noun	機構、制度		Intermediate	
institutional	adj.	機構的		High-Intermediate	
instruct	verb	教授、指示、命令		Intermediate	L6
instruction	noun	指示、命令		Intermediate	
instructor	noun	教練、講師		Intermediate	
instrument	noun	樂器		Elementary	
instrumental	adj.	起重要作用的、用樂器演奏的		High-Intermediate	
insulate	verb	使隔熱(音)、隔絕		High-Intermediate	
insult	noun/verb	侮辱、辱駡		Intermediate	
insurance	noun	保險(業)		Intermediate	
insure	verb	投保、給…保險		High-Intermediate	
insurer	noun	承保人、保險公司		High-Intermediate	
intact	adj.	完好無損的		High-Intermediate	
intake	noun	(食物、飲料的)攝取量		High-Intermediate	
integral	adj.	必需的、完整的		High-Intermediate	L9
integrate	verb	合併、融入群體		High-Intermediate	L4
integration	noun	結合、融合		High-Intermediate	
integrity	noun	誠實正直、完整		High-Intermediate	L10
intellect	noun	智力、才智超群的人		High-Intermediate	
intellectual	adj./noun	智力的、聰明的；知識份子		Intermediate	
intelligence	noun	智慧		Intermediate	L6
intelligent	adj.	有才智的		Elementary	L6
intelligible	adj.	易懂的、容易理解的		High-Intermediate	
intend	verb	打算、意指		Intermediate	
intense	adj.	劇烈的、熱切的		Intermediate	L8
intensify	verb	變激烈、增強		Intermediate	
intensity	noun	強烈、劇烈		High-Intermediate	
intensive	adj.	密集的、加強的		Intermediate	
intent	adj.	熱切的、堅持要做的		High-Intermediate	
intent	noun	意圖		High-Intermediate	
intention	noun	意圖		Intermediate	
inter	verb	埋葬(遺體)		High-Intermediate	
interact	verb	互動		Intermediate	L3
interaction	noun	交流、互動		High-Intermediate	
intercourse	noun	性交、(人、國家間的)往來		High-Intermediate	
interest	noun/verb	興趣；使感興趣		Elementary	
interfere	verb	干涉、妨礙		Intermediate	
interference	noun	干涉、妨礙		Intermediate	
interim	adj.	暫時的、間歇的		High-Intermediate	
interim	noun	過渡期間		High-Intermediate	
interior	noun/adj.	內部；內部的		High-Intermediate	
intermediate	adj.	中級的、中間的		Intermediate	L9
intermittent	adj.	間歇的		High-Intermediate	
internal	adj.	內部的、國內的		Intermediate	L4
international	adj.	國際性的		Elementary	
Internet	noun	網際網路		Elementary	
interpret	verb	詮釋、理解為		Intermediate	L1
interpretation	noun	詮釋、理解		Intermediate	L1
interpreter	noun	口譯員		Intermediate	
interrupt	verb	打斷(說話)		Elementary	
interruption	noun	阻斷物、中止、打擾		High-Intermediate	
intersection	noun	交叉口、十字路口		High-Intermediate	
interval	noun	(時間)間隔		Intermediate	L6
intervene	verb	干涉、介入		High-Intermediate	L7
intervention	noun	干涉、介入		High-Intermediate	
interview	noun/verb	面談		Elementary	
intimacy	noun	親密、關係密切		High-Intermediate	
intimate	adj./noun	親密的、諳熟的、隱私的；知己		Intermediate	
intimidate	verb	恐嚇、威脅		High-Intermediate	
into	prep.	進入到		Elementary	
intonation	noun	語調、抑揚頓挫		High-Intermediate	
intricate	adj.	錯綜複雜的		High-Intermediate	
intrigue	noun	陰謀詭計、引人入勝的複雜情節		High-Intermediate	
intrigue	verb	激起…的興趣		High-Intermediate	
intrinsic	adj.	固有的、內在的、本身的		High-Intermediate	L10
introduce	verb	介紹、引進		Elementary	
introduction	noun	介紹		Intermediate	
intrude	verb	打擾、侵入		Intermediate	
intruder	noun	侵入者		Intermediate	
intrusion	noun	侵擾、闖入		High-Intermediate	
intuition	noun	直覺		High-Intermediate	
invade	verb/noun	侵略		Intermediate	
invalid	noun	病弱者		High-Intermediate	
invalid	adj.	病弱的、無效的		High-Intermediate	
invaluable	adj.	極有價值的		High-Intermediate	
invariable	adj.	始終如一的、永無變化的		High-Intermediate	L1
invent	verb	發明		Elementary	
invention	noun	發明(物)		Intermediate	
inventor	noun	發明者		Intermediate	
inventory	noun	詳細目錄、存貨(清單)		High-Intermediate	
invert	verb	使顛倒、使倒轉		High-Intermediate	
invest	verb	投資、投入時間		Intermediate	L2
investigate	verb	調查		Elementary	L4
investigation	noun	調查、研究		High-Intermediate	
investigator	noun	調查員		High-Intermediate	
investment	noun	投資、投入		Intermediate	
investor	noun	投資者		Intermediate	
invisible	adj.	隱形的		Intermediate	
invitation	noun	邀請		Elementary	
invite	verb	邀請		Elementary	
inviting	adj.	誘人的、吸引人的		High-Intermediate	
involve	verb	牽涉、包含、參加		Intermediate	L1
involvement	noun	參與、捲入		High-Intermediate	
inward	adv.	向中心、向自己	= inwards (British English)	High-Intermediate	
IQ	noun	智商	= intelligence quotient	High-Intermediate	
iron	noun	鐵		Elementary	
iron	verb	熨		Elementary	
ironic	adj.	諷刺的、(因出乎意料而)好笑的		High-Intermediate	
irony	noun	有諷刺意味的情況、反語		High-Intermediate	
irresistible	adj.	不可遏止的、誘人的		High-Intermediate	
irrespective	adj.	不考慮的、不管的		High-Intermediate	
irrigation	noun	灌溉		High-Intermediate	
irritable	adj.	易怒的、暴躁的		High-Intermediate	
irritate	verb	使煩躁、激怒		High-Intermediate	
irritation	noun	惱怒、發炎		High-Intermediate	
is	verb	(Be動詞)是		Elementary	
island	noun	島嶼		Elementary	
isle	noun	(常用於詩歌和名稱中)島		High-Intermediate	
isolate	verb	孤立、隔離		Intermediate	L7
isolation	noun	孤立、隔離		Intermediate	
issue	noun	議題、問題		Intermediate	L1
issue	verb	發行		Intermediate	L1
it	pron.	它		Elementary	
itch	verb/noun	發癢；癢		Intermediate	
item	noun	項目		Elementary	L2
its	determiner	它的		Elementary	
itself	pron.	它自己		Elementary	
ivory	noun	象牙、象牙製品		Intermediate	
ivory	adj.	象牙白色的		Intermediate	
ivy	noun	常春藤		High-Intermediate	
jack	noun	千斤頂、(紙牌)傑克、(電)插座		High-Intermediate	
jack	verb	用起重機舉起、哄抬(價格等)		High-Intermediate	
jacket	noun	夾克		Elementary	
jade	noun	玉、翡翠、玉器		High-Intermediate	
jail	noun/verb	監獄；監禁		Intermediate	
jam	verb	塞進、擠滿		Intermediate	
jam	noun	堵塞、果醬		Elementary	
janitor	noun	門房、管理員		High-Intermediate	
January	noun	一月	= Jan.	Elementary	
Japan	noun	日本		Elementary	
Japanese	adj./noun	日本的；日本人、日語		Elementary	
jar	noun	(玻璃)罐子、一罐		Intermediate	
jasmine	noun	茉莉		High-Intermediate	
jaw	noun	下巴		Intermediate	
jaywalk	verb	(無視交通規則)亂穿越馬路		High-Intermediate	
jazz	noun	爵士樂		Elementary	
jealous	adj.	妒忌的		Elementary	
jealousy	noun	妒忌		Intermediate	
jeans	noun	牛仔褲		Elementary	
jeep	noun	吉普車		Elementary	
jeer	verb/noun	嘲笑、譏諷；嘲笑或譏諷的言語		High-Intermediate	
jelly	noun	膠狀物、果凍		Intermediate	
jeopardize	verb	危害、損害	= jeopardise (British English)	High-Intermediate	
jerk	verb	猛地一拉(推、扔、動)		High-Intermediate	
jerk	noun	笨蛋		High-Intermediate	
jersey	noun	球衣、針織衫		High-Intermediate	
jet	noun/verb	噴射機；乘噴射機		Intermediate	
jewel	noun	寶石、首飾		Intermediate	
jewellery	noun	珠寶		Intermediate	
jingle	verb/noun	發出叮噹聲；叮噹聲		High-Intermediate	
job	noun	工作		Elementary	L4
jobless	adj.	失業的		High-Intermediate	
jockey	noun	賽馬騎師、（設備、車輛的）操作者		High-Intermediate	
jockey	verb	運用各種手段謀利		High-Intermediate	
jog	verb	慢跑		Elementary	
join	verb	參加		Elementary	
joint	adj.	共同的		Elementary	
joint	noun	接點		Elementary	
joke	noun/verb	玩笑；開玩笑		Elementary	
journal	noun	報刊雜誌、日記		Intermediate	L2
journalism	noun	新聞業、新聞工作		High-Intermediate	
journalist	noun	新聞記者		Elementary	
journey	noun/verb	旅行		Intermediate	
joy	noun	歡樂		Elementary	
joyful	adj.	令人愉快的		Intermediate	
joyous	adj.	歡樂的、令人愉快的		High-Intermediate	
judge	noun	法官		Elementary	
judge	verb	判斷		Elementary	
judgment	noun	判斷、審判	= judgement	Intermediate	
judicial	adj.	法庭的、審判的、司法的		High-Intermediate	
judiciary	noun	審判人員、司法系統		High-Intermediate	
jug	noun	(有柄有嘴的)壺、罐		High-Intermediate	
juice	noun	果汁		Elementary	
juicy	adj.	多汁的		Intermediate	
July	noun	七月	= Jul.	Elementary	
jump	verb/noun	跳		Elementary	
jumper	noun	跳躍者、跳躍動物；套頭衫		High-Intermediate	
junction	noun	匯合、(公路或鐵路)交叉點		High-Intermediate	
June	noun	六月	= Jun.	Elementary	
jungle	noun	叢林		Intermediate	
junior	adj./noun	較年輕的、資淺的、（四年制中學或大學）三年級的；後輩、資淺者、（四年制中學或大學的）三年級學生		Intermediate	
junior high school	noun	國中、國民中學		Elementary	
junk	noun	廢舊物、垃圾		Intermediate	
jury	noun	陪審團		Intermediate	
just	adv.	只是、正好、剛才		Elementary	
justice	noun	正義、司法		Intermediate	
justification	noun	正當理由、辯護		High-Intermediate	
justified	adj.	有正當理由的		High-Intermediate	
justify	verb	證明是正當的、為…辯護		High-Intermediate	L3
juvenile	noun/adj.	少年；少年的、未成熟的		High-Intermediate	
kangaroo	noun	袋鼠		Elementary	
Kaohsiung	noun	高雄		Elementary	
keen	adj.	熱切的、熱心的		Intermediate	
keep	verb	使…保持在某狀態、繼續、飼養		Elementary	
keeper	noun	飼養者、看守人		Intermediate	
kernel	noun	(堅果的)核、(主題的)中心		High-Intermediate	
ketchup	noun	番茄醬	= catsup	Elementary	
kettle	noun	水壺		Intermediate	
key	noun	鑰匙、關鍵		Elementary	
key	adj.	重要的		Elementary	
keyboard	noun	鍵盤		Intermediate	
kick	verb/noun	踢		Elementary	
kid	noun	小孩		Elementary	
kidnap	verb	綁架		Intermediate	
kidney	noun	腎		Intermediate	
kill	verb	殺、使痛苦		Elementary	
killer	noun	殺手、導致死亡的人(事物)		High-Intermediate	
killing	noun/adj.	謀殺；致命的、使人精疲力盡的、滑稽的		High-Intermediate	
kilogram	noun	公斤	= kg	Elementary	
kilometer	noun	公里	= kilometre (British English)=km	Elementary	
kin	noun	(統稱)家屬、親戚		High-Intermediate	
kind	adj.	仁慈、親切的		Elementary	
kind	noun	種類		Elementary	
kindergarten	noun	幼稚園		Elementary	
kindle	verb	開始燃燒、激起(興趣、感情)		High-Intermediate	
kindly	adj./adv	親切的；親切地		Intermediate	
kindness	noun	親切、和藹		Intermediate	
king	noun	國王		Elementary	
kingdom	noun	王國		Elementary	
kiss	verb/noun	親吻		Elementary	
kit	noun	成套工具		Intermediate	
kitchen	noun	廚房		Elementary	
kite	noun	風箏		Elementary	
kitten	noun	小貓	= kitty	Elementary	
knee	noun	膝蓋		Elementary	
kneel	verb	跪下		Intermediate	
knife	noun	刀		Elementary	
knight	noun	騎士		Intermediate	
knit	verb/noun	縫紉；針織衫		Intermediate	
knob	noun	球形把手、旋鈕		Intermediate	
knock	verb	敲		Elementary	
knot	noun/verb	繩結；打結		Intermediate	
know	verb	知道		Elementary	
know-how	noun	知識、實用技能、竅門		High-Intermediate	
knowledge	noun	知識		Elementary	
knowledgeable	adj.	博學的、有見識的		Intermediate	
knuckle	noun/verb	指關節、(豬)蹄膀；用指關節敲打		High-Intermediate	
koala	noun	無尾熊		Elementary	
Korea	noun	韓國		Elementary	
Korean	adj./noun	韓國的；韓國人		Elementary	
KTV	noun	卡拉OK店		Elementary	
label	noun/verb	標籤；貼標籤於、歸為		Intermediate	L4
labor	noun/verb	勞動、勞工；努力做	= labour (British English)	Intermediate	L1
laboratory	noun	實驗室	= lab	Intermediate	
lace	noun/verb	蕾絲；用帶繫		Intermediate	
lack	noun/verb	欠缺		Elementary	
lad	noun	小伙子、少年		High-Intermediate	
ladder	noun	梯子、階梯		Intermediate	
lady	noun	女士		Elementary	
ladybug	noun	瓢蟲	= ladybird (British English)	Intermediate	
lag	verb/noun	掉隊、滯後、緩慢移動；（兩件事之間的）間隔，延遲		Intermediate	
lake	noun	湖		Elementary	
lamb	noun	小羊		Elementary	
lame	adj.	瘸的、站不住腳的、無說服力的		High-Intermediate	
lament	noun/verb	輓歌；對…感到悲痛		High-Intermediate	
lamp	noun	燈		Elementary	
land	noun	土地		Elementary	
land	verb	登陸		Elementary	
landing	noun	樓梯平台、降落、著陸		High-Intermediate	
landlady	noun	女房東、女地主		Intermediate	
landlord	noun	房東、地主		Intermediate	
landmark	noun	地標		Intermediate	
landscape	noun/verb	風景；美化(環境)		Intermediate	
landslide	noun	土石流		Intermediate	
lane	noun	小路、巷弄		Intermediate	
language	noun	語言		Elementary	
lantern	noun	燈籠		Elementary	
Lantern Festival	noun	元宵節		Elementary	
lap	noun	大腿、一圈(跑道)		Intermediate	
large	adj.	大的		Elementary	
largely	adv.	大部分、主要地		Intermediate	
large-scale	adj.	大規模的、大範圍的		High-Intermediate	
laser	noun	雷射		Intermediate	
lash	noun/verb	睫毛、鞭打；鞭打、猛擊、怒斥		High-Intermediate	
last	verb	持續		Intermediate	
last 	adj./pron./noun	最後的、剛過的		Elementary	
lasting	adj.	持久的		High-Intermediate	
late	adj./adv.	遲的		Elementary	
lately	adv.	最近		Intermediate	
latent	adj.	潛在的、潛伏的		High-Intermediate	
later	adv.	更晚的；較晚地、以後		Elementary	
latest	adj.	最新的		Elementary	
latitude	noun	緯度		Intermediate	
latter	adj.	後面的、後者的		Intermediate	
laugh	verb/noun	笑		Elementary	
laughter	noun	笑、笑聲		Intermediate	
launch	verb/noun	發動、發行、發射、下水		Intermediate	
laundry	noun	洗衣店、洗好或待洗的衣物		Intermediate	
lava	noun	(火山噴出的)熔岩、岩漿		High-Intermediate	
lavatory	noun	盥洗室、廁所	= toilet	Intermediate	
lavish	adj./verb	奢華的、豪華的；為…提供大量的（金錢）		High-Intermediate	
law	noun	法律		Elementary	
lawful	adj.	合法的、法定的		Intermediate	
lawmaker	noun	立法者		High-Intermediate	
lawn	noun	草坪		Intermediate	
lawsuit	noun	訴訟、起訴		High-Intermediate	
lawyer	noun	律師		Elementary	
lay	verb	放置		Elementary	
layer	noun	層		Intermediate	L3
layman	noun	門外漢		High-Intermediate	
layout	noun	佈局、佈置、安排		High-Intermediate	
lazy	adj.	懶惰的		Elementary	
LCD	noun	液晶顯示器	= liquid crystal display	High-Intermediate	
lead	noun	鉛		Intermediate	
lead 	verb/noun	領導；領先		Elementary	
leader	noun	領導者		Elementary	
leadership	noun	領導(能力)		Elementary	
lead-in	noun	(主題、故事的)介紹、開場白		High-Intermediate	
leading	adj.	最重要的、領先的		Intermediate	
leaf	noun	葉子		Elementary	
leaflet	noun	傳單		Intermediate	
league	noun	聯盟、社團		Intermediate	
